label,x,y,plot_type,plot_num
brown_layer,563.2609408668468,9281.909437202345,path,4
brown_layer,608.9172610633818,9281.909437202345,path,4
brown_layer,658.2743519376786,9281.909437202345,path,4
brown_layer,711.6321873717854,5335.1106135669415,path,4
brown_layer,769.3150562723073,5487.021287183653,path,4
brown_layer,831.6735334767245,5140.217931179491,path,4
brown_layer,899.0866104157365,5140.217931179491,path,4
brown_layer,971.9639984809992,5140.217931179491,path,4
brown_layer,1050.7486190972606,5140.217931179491,path,4
brown_layer,1135.9192956326183,5140.217931179491,path,4
brown_layer,1227.9936635073213,3355.100067577925,path,4
brown_layer,1327.5313161876632,2055.2768457550274,path,4
brown_layer,1435.137206185137,2055.2768457550274,path,4
brown_layer,1551.4653217308567,2055.2768457550274,path,4
brown_layer,1677.2226614706794,2055.2768457550274,path,4
brown_layer,1813.1735313377458,2055.2768457550274,path,4
brown_layer,1960.1441897172122,6165.133728922333,path,4
brown_layer,2119.027869134746,59633.74492791336,path,4
brown_layer,2290.790204988721,59633.74492791336,path,4
brown_layer,2476.4751043199103,59633.74492791336,path,4
brown_layer,2677.211090286858,59633.74492791336,path,4
brown_layer,2894.218160906276,59633.74492791336,path,4
brown_layer,3128.8152037433024,55690.59943033381,path,4
brown_layer,3382.428011615348,3429.367919311862,path,4
brown_layer,3656.597948025951,3429.367919311862,path,4
brown_layer,3952.9913149939107,3429.367919311862,path,4
brown_layer,4273.40948021185,3429.367919311862,path,4
brown_layer,4619.799825083257,3429.367919311862,path,4
brown_layer,4994.2675801761125,3429.367919311862,path,4
brown_layer,5399.088620024495,82875.64301966994,path,4
brown_layer,5836.723295040207,202297.81027728555,path,4
brown_layer,6309.8313845995835,590840.8877426166,path,4
brown_layer,6821.28826218472,590840.8877426166,path,4
brown_layer,7374.202370824812,590840.8877426166,path,4
brown_layer,7971.934115046744,590840.8877426166,path,4
brown_layer,8618.116284153153,590840.8877426166,path,4
brown_layer,9316.676130952977,590840.8877426166,path,4
brown_layer,10071.859240130716,590840.8877426166,path,4
brown_layer,10888.255331317418,590840.8877426166,path,4
brown_layer,11770.826153684764,590840.8877426166,path,4
brown_layer,12724.935641595133,590840.8877426166,path,4
brown_layer,13756.382514582387,590840.8877426166,path,4
brown_layer,14871.435519793808,590840.8877426166,path,4
brown_layer,16076.871531083534,590840.8877426166,path,4
brown_layer,17380.01673630952,590840.8877426166,path,4
brown_layer,18788.791163154918,590840.8877426166,path,4
brown_layer,20311.756814085104,590840.8877426166,path,4
brown_layer,21958.169702986706,590840.8877426166,path,4
brown_layer,23738.03610974757,590840.8877426166,path,4
brown_layer,25662.173394672056,590840.8877426166,path,4
brown_layer,27742.27574233887,590840.8877426166,path,4
brown_layer,29990.985234467873,590840.8877426166,path,4
brown_layer,32421.96868375006,590840.8877426166,path,4
brown_layer,35050.000695608054,590840.8877426166,path,4
brown_layer,37891.05346270513,590840.8877426166,path,4
brown_layer,40962.39383794031,590840.8877426166,path,4
brown_layer,44282.68827590257,590840.8877426166,path,4
brown_layer,47872.116280579176,590840.8877426166,path,4
brown_layer,51752.49304881059,590840.8877426166,path,4
brown_layer,55947.40205487286,590840.8877426166,path,4
brown_layer,60482.33838198701,590840.8877426166,path,4
brown_layer,65384.86367187031,590840.8877426166,path,4
brown_layer,70684.77363405497,590840.8877426166,path,4
brown_layer,76414.27913303277,590840.8877426166,path,4
brown_layer,82608.20195380562,590840.8877426166,path,4
brown_layer,89304.18643563137,590840.8877426166,path,4
brown_layer,96542.92826019561,590840.8877426166,path,4
brown_layer,104368.42178469796,590840.8877426166,path,4
brown_layer,112828.22742305063,590840.8877426166,path,4
brown_layer,121973.76070023206,590840.8877426166,path,4
brown_layer,131860.6047365591,590840.8877426166,path,4
brown_layer,142548.84806104045,590840.8877426166,path,4
brown_layer,154103.44980691336,590840.8877426166,path,4
brown_layer,166594.63450888675,590840.8877426166,path,4
brown_layer,180098.31890151807,590840.8877426166,path,4
brown_layer,194696.57331264575,643657.8965433366,path,4
brown_layer,210478.12045605344,643657.8965433366,path,4
brown_layer,227538.87465483986,643657.8965433366,path,4
brown_layer,245982.52477269247,643657.8965433366,path,4
brown_layer,265921.16439590236,643657.8965433366,path,4
brown_layer,287475.9730961293,649832.7929678492,path,4
brown_layer,310777.9529143786,591562.9184254529,path,4
brown_layer,335968.72454226034,591562.9184254529,path,4
brown_layer,363201.3880394245,591562.9184254529,path,4
brown_layer,392641.45331828785,591562.9184254529,path,4
brown_layer,424467.84605119063,591562.9184254529,path,4
brown_layer,458873.9951135095,591562.9184254529,path,4
brown_layer,496069.00817179686,591562.9184254529,path,4
brown_layer,536278.9425617321,591562.9184254529,path,4
brown_layer,579748.1791798021,591562.9184254529,path,4
brown_layer,626740.9077387108,591562.9184254529,path,4
brown_layer,677542.7324133423,591562.9184254529,path,4
brown_layer,732462.4076357923,591562.9184254529,path,4
brown_layer,791833.7145889769,591562.9184254529,path,4
brown_layer,856017.4898034424,591562.9184254529,path,4
brown_layer,925403.8181864341,297847.5025025137,path,4
white_layer,0.0,16134.706672473012,path,5
white_layer,308.0762397622585,16134.706672473012,path,5
white_layer,333.2232787310989,16134.706672473012,path,5
white_layer,360.42297054128915,16134.706672473012,path,5
white_layer,389.8428650857737,16134.706672473012,path,5
white_layer,421.6641886893133,16134.706672473012,path,5
white_layer,456.08296046125315,16134.706672473012,path,5
white_layer,493.31119977173654,16134.706672473012,path,5
white_layer,533.5782322893965,16134.706672473012,path,5
