sample	unit	platform	fq1	fq2
RJF_thai7	1	ILLUMINA	data/ERR2985538_R1.fastq.gz	data/ERR2985538_R2.fastq.gz
RJF_thai8	1	ILLUMINA	data/ERR2985539_R1.fastq.gz	data/ERR2985539_R2.fastq.gz
RJF_thai9	1	ILLUMINA	data/ERR2985540_R1.fastq.gz	data/ERR2985540_R2.fastq.gz
RJF_thai10	1	ILLUMINA	data/ERR2985541_R1.fastq.gz	data/ERR2985541_R2.fastq.gz
RJF_thai11	1	ILLUMINA	data/ERR2985542_R1.fastq.gz	data/ERR2985542_R2.fastq.gz
RJF_thai12	1	ILLUMINA	data/ERR2985543_R1.fastq.gz	data/ERR2985543_R2.fastq.gz
RJF_thai13	1	ILLUMINA	data/ERR2985544_R1.fastq.gz	data/ERR2985544_R2.fastq.gz
RJF_thai14	1	ILLUMINA	data/ERR2985545_R1.fastq.gz	data/ERR2985545_R2.fastq.gz
RJF_thai15	1	ILLUMINA	data/ERR2985546_R1.fastq.gz	data/ERR2985546_R2.fastq.gz
RJF_thai16	1	ILLUMINA	data/ERR2985547_R1.fastq.gz	data/ERR2985547_R2.fastq.gz
RJF_thai17	1	ILLUMINA	data/ERR2985548_R1.fastq.gz	data/ERR2985548_R2.fastq.gz
RJF_thai18	1	ILLUMINA	data/ERR2985549_R1.fastq.gz	data/ERR2985549_R2.fastq.gz
RJF_thai19	1	ILLUMINA	data/ERR2985550_R1.fastq.gz	data/ERR2985550_R2.fastq.gz
RJF_thai20	1	ILLUMINA	data/ERR2985551_R1.fastq.gz	data/ERR2985551_R2.fastq.gz
RJF_thai21	1	ILLUMINA	data/ERR2985552_R1.fastq.gz	data/ERR2985552_R2.fastq.gz
RJF_thai22	1	ILLUMINA	data/ERR2985553_R1.fastq.gz	data/ERR2985553_R2.fastq.gz
RJF_thai23	1	ILLUMINA	data/ERR2985554_R1.fastq.gz	data/ERR2985554_R2.fastq.gz
RJF_thai24	1	ILLUMINA	data/ERR2985555_R1.fastq.gz	data/ERR2985555_R2.fastq.gz
RJF_thai25	1	ILLUMINA	data/ERR2985556_R1.fastq.gz	data/ERR2985556_R2.fastq.gz
CBL_A1	1	ILLUMINA	data/ERR2985567_R1.fastq.gz	data/ERR2985567_R2.fastq.gz
CBL_A2	1	ILLUMINA	data/ERR2985568_R1.fastq.gz	data/ERR2985568_R2.fastq.gz
CBL_A3	1	ILLUMINA	data/ERR2985569_R1.fastq.gz	data/ERR2985569_R2.fastq.gz
CBL_A4	1	ILLUMINA	data/ERR2985570_R1.fastq.gz	data/ERR2985570_R2.fastq.gz
